URL,ANFITRION,PERMISO
https://www.airbnb.es/rooms/1043942333002828259?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P3cxG5pQmK_RLGUR&previous_page_section_name=1000,,
https://www.airbnb.es/rooms/13557743?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-19&check_out=2024-11-24&source_impression_id=p3_1732044428_P3iq02cm15w8qedP&previous_page_section_name=1000,,
https://www.airbnb.es/rooms/46745326?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P375PZPy6T3xKOsX&previous_page_section_name=1000,Guillermo,VFT/GR/02851
https://www.airbnb.es/rooms/1239577312995730787?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-19&check_out=2025-01-24&source_impression_id=p3_1732044428_P3tsiwjxdqlWR0UJ&previous_page_section_name=1000,Carolina Mercedes,
https://www.airbnb.es/rooms/50361862?adults=2&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1481180477&search_mode=regular_search&check_in=2025-01-01&check_out=2025-01-06&source_impression_id=p3_1732044428_P3WaW4t8QDkP8spB&previous_page_section_name=1000,Quédate con Jesús,VFT/GR/0179
https://www.airbnb.es/rooms/836982545520084011?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P378PE3O1SV9wDUW&previous_page_section_name=1000,Noor,Exempt
https://www.airbnb.es/rooms/27183697?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P37Jx9gHDznGlIJ0&previous_page_section_name=1000,Javi,CTC-2017127225
https://www.airbnb.es/rooms/1288201540827349749?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1732044428_P3yU6pSP89F4qkCx&previous_page_section_name=1000,Alejandro,VUT/GR/03474
https://www.airbnb.es/rooms/50374000?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P3cOzTLNTUDGYvFI&previous_page_section_name=1000,Tania,202199907211910
https://www.airbnb.es/rooms/999167827231894093?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P3_Q0_exWaXKxGkF&previous_page_section_name=1000,Juan,VFT/GR/09022
https://www.airbnb.es/rooms/45720586?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P371LumrvIS8caY_&previous_page_section_name=1000,Sofía Muñoz Cuadros,CTC-2020131379
https://www.airbnb.es/rooms/3118777?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P3u10iteUw6a08Xj&previous_page_section_name=1000,Amanda,ctc-2017036015
https://www.airbnb.es/rooms/31221269?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-05&check_out=2025-01-10&source_impression_id=p3_1732044428_P3Lk32PF4wa8FXOh&previous_page_section_name=1000,Elena,VFT/GR/03324
https://www.airbnb.es/rooms/1069518392428481698?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P3ZzgQXqB3dcOxAT&previous_page_section_name=1000,,
https://www.airbnb.es/rooms/923224547618960674?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-15&check_out=2024-12-20&source_impression_id=p3_1732044428_P3Ag7GDnV9kwWqM0&previous_page_section_name=1000,Sacha,VFT/GR/08193
https://www.airbnb.es/rooms/602740643955431980?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-08&check_out=2024-12-13&source_impression_id=p3_1732044428_P3z0FMSQpt-WInRY&previous_page_section_name=1000,Emilio,VFT/GR/04118
https://www.airbnb.es/rooms/742526298595537693?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P3Yd6qzkXQJbm1EH&previous_page_section_name=1000,Javi,CTC-2017127214
https://www.airbnb.es/rooms/1261478295935829956?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1732044428_P3uKh6uCLuIRGDGF&previous_page_section_name=1000,Francisco,VUT/GR/12260
